,address,LAT,LONG
1858,AMERICAN LEGION HY AND BLUE HILL AV,42.273067,-71.094001
2203,BLUE HILL AV AND CASTLEGATE R,42.273067,-71.094001
1204,HERON ST AND YULETIDE R,42.273497,-71.106671
899,1 LEDGE HILL R,42.273504,-71.170225
2648,SANFORD ST AND CADDY R,42.273867,-71.073291
1445,3RD ST AND 9TH ST,42.275738,-71.122153
1457,9TH ST AND 3RD ST,42.275738,-71.122153
1568,1135 MORTON ST AND RUGGLES ST,42.275787,-71.074891
102,W SELDEN ST AND FAUNCE R,42.276647,-71.086291
733,GORDON ST,42.277399,-71.021211
1920,276 LAGRANGE ST AND REDGATE R,42.277494,-71.153651
1925,274 LAGRANGE ST AND REDGATE R,42.277587,-71.154351
1646,6 GORDON ST,42.277715,-71.021854
25,VALLEY R,42.27775,-71.06806
125,OCONNELL WY,42.278017,-71.068291
2506,MATTAPAN ST AND HIAWATHA R,42.278421,-71.096115
631,863 GARDNER ST,42.278467,-71.174041
127,55 W SELDEN ST AND RESERVATION R,42.279037,-71.084731
769,235 KITTREDGE ST AND KITTREDGE CT,42.279197,-71.132831
2746,LASELL ST AND VFW PY,42.279266,-71.169307
2441,4 WELLINGTON HILL ST AND BLUE HILL AV,42.279407,-71.093511
1032,909 CANTERBURY ST AND GILMAN ST,42.279437,-71.116071
238,CUMMINS HY AND MT CALVARY R,42.279767,-71.113751
739,WREN ST AND GERTRUDE R,42.279887,-71.149861
1268,HOBSON ST AND BOTHWELL R,42.280087,-71.141521
2232,LENOXDALE AV AND HILL TOP ST,42.280157,-71.049821
1035,HAZELTON ST AND FOTTLER R,42.280395,-71.096657
6,ATLANTIC AV AND COMMERCIAL WF,42.2807,-71.0287
272,ATLANTIC AV AND SEAPORT BL,42.2807,-71.0287
684,ATLANTIC AV AND HARRISON AV,42.2807,-71.0287
935,1 HARVARD PL AND ATLANTIC AV,42.2807,-71.0287
2024,ATLANTIC AV AND LEWIS WF,42.2807,-71.0287
2580,9 METROPOLITAN AV AND PLEASANT ST,42.282041,-71.134511
2803,FREDERIKA ST AND ELY R,42.282917,-71.059061
1974,1212 BLUE HILL AV AND SCHOOL ST,42.282927,-71.091371
2701,KENMARE RD AND ELY R,42.283225,-71.056862
544,55 BERTRAM ST AND ASHMONT ST,42.2834,-71.0689
1043,WESTMORE R,42.283757,-71.096891
840,58 BROCK ST AND COLBORNE R,42.28394,-71.115069
191,115 RUSSELL ST,42.284251,-71.025463
2286,WILLOWWOOD ST AND WINSTON R,42.28428,-71.08593
628,GREENDALE RD AND WELLINGTON HILL,42.285437,-71.094481
2432,46 BROOKSDALE R,42.285557,-71.122711
814,408 HYDE PARK AV AND NEPONSET AV,42.2862,-71.0453
1209,NEPONSET AV AND W 5TH ST,42.2862,-71.0453
1373,23 BROOKSDALE R,42.2862,-71.122059
2550,NEPONSET AV AND BOURNE ST,42.2862,-71.0453
83,MORTON ST AND CODMAN ST,42.286407,-71.093141
180,95 CANTERBURY ST,42.286759,-71.110035
1178,43 CANTERBURY ST,42.286759,-71.110035
2302,45 CANTERBURY ST,42.286759,-71.110035
1957,1851 DORCHESTER AV AND TILMAN ST,42.287778,-71.063726
2503,FLORIAN ST AND GOODWAY R,42.287947,-71.117271
1775,WYVERN ST AND HYDE PARK AV,42.287966,-71.116666
21,HARVARD ST AND DEERING R,42.288433,-71.092286
192,HARVARD ST AND BRAINERD R,42.288433,-71.092286
1050,HARVARD ST AND STEARNS R,42.288433,-71.092286
1430,HARVARD ST AND WILBERT R,42.288433,-71.092286
2579,HARVARD ST AND DUDLEY ST,42.288433,-71.092286
850,FAWNDALE R,42.288817,-71.121141
2524,25 CATHERINE ST,42.288827,-71.114411
1007,1773 DORCHESTER AV AND WELLES AV,42.28928,-71.0668
1842,194 COREY ST AND RUSTLEWOOD R,42.289627,-71.159061
170,CENTRE ST AND GLENHAVEN R,42.29,-71.12
1293,CENTRE ST AND MANTHORNE R,42.29,-71.12
1429,CENTRE ST AND STANWOOD ST,42.29,-71.12
1515,1829 CENTRE ST AND MAPLE ST,42.29,-71.12
2618,33 HIGHLAND AV AND CENTRE ST,42.29,-71.12
1432,15 WAYBURN R,42.290007,-71.113121
160,FANEUIL ST AND ADAIR R,42.290073,-71.048854
589,WIRT ST AND WALLINGFORD R,42.290073,-71.048854
616,CALDWELL ST AND BROADWAY,42.290073,-71.048854
940,13TH ST AND 5TH ST,42.290073,-71.048854
1273,BIGELOW ST AND PERTHSHIRE R,42.290073,-71.048854
1524,9TH ST AND 5TH AV,42.290073,-71.048854
2215,ADAMSON ST AND ERIC R,42.290073,-71.048854
2528,13TH ST AND 4TH ST,42.290073,-71.048854
2730,EUSTIS ST AND SHABAZZ WY,42.290073,-71.048854
2757,READVILLE ST AND DANNY R,42.290073,-71.048854
2851,PERKINS ST AND PARKTON R,42.290073,-71.048854
794,CUMMINS HY AND WASHINGTON ST,42.290573,-71.071995
812,WASHINGTON ST AND ARCHDALE R,42.290573,-71.071995
993,WASHINGTON ST AND ARBORWAY,42.290573,-71.071995
1435,WASHINGTON ST AND IFFLEY R,42.290573,-71.071995
2435,ARBORWAY AND WASHINGTON ST,42.290573,-71.071995
2585,WASHINGTON ST AND CHITTICK R,42.290573,-71.071995
2709,WASHINGTON ST AND BROOKLEY R,42.290573,-71.071995
2840,WASHINGTON ST AND AVE DELAFAYETTE,42.290573,-71.071995
707,56 ARBOROUGH RD AND HARVARD ST,42.290599,-71.127189
2355,4 ALFORD ST,42.290622,-71.148061
2370,3 ALFORD ST,42.29066,-71.147975
1309,SEMONT R,42.291037,-71.061691
947,31 NORTHBOURNE R,42.291117,-71.116661
1046,38 SEMONT R,42.291127,-71.061401
276,18 NORTHBOURNE R,42.291297,-71.117231
376,BLANVON R,42.291341,-71.118597
1477,WALKER ST,42.291407,-71.131971
275,NORTHBOURNE R,42.291457,-71.116021
2722,569 WASHINGTON ST AND ASPINWALL R,42.29179,-71.07204
219,SELWYN ST AND ROBKEN R,42.292197,-71.133801
536,SELWYN ST AND CONISTON R,42.292197,-71.133801
16,402a BLUE HILL AV,42.292276,-71.084607
103,1657 BLUE HILL AV,42.292276,-71.084607
714,73 BLUE HILL AV,42.292276,-71.084607
791,15 BLUE HILL AV,42.292276,-71.084607
823,16 BLUE HILL AV,42.292276,-71.084607
828,296 BLUE HILL AV,42.292276,-71.084607
1097,159 BLUE HILL AV,42.292276,-71.084607
1242,105 BLUE HILL AV,42.292276,-71.084607
1383,222 BLUE HILL AV,42.292276,-71.084607
1800,79 BLUE HILL AV,42.292276,-71.084607
1930,1501 BLUE HILL AV,42.292276,-71.084607
2004,325 BLUE HILL AV,42.292276,-71.084607
2273,29 BLUE HILL AV,42.292276,-71.084607
2521,1661 BLUE HILL AV,42.292276,-71.084607
2566,1567 BLUE HILL AV,42.292276,-71.084607
2712,1675 BLUE HILL AV,42.292276,-71.084607
2836,71 BLUE HILL AV,42.292276,-71.084607
206,COREY ST AND LEDGEWOOD R,42.29246,-71.162067
475,COREY ST AND FERNCROFT R,42.29246,-71.162067
1754,COREY ST AND GARTH R,42.29246,-71.162067
2470,COREY ST AND FURBUSH R,42.29246,-71.162067
2560,COREY ST AND LEDGEMERE R,42.29246,-71.162067
2713,44 ELDRIDGE R,42.292567,-71.115381
551,ALLSTON ST AND GREYLOCK R,42.293027,-71.066911
394,CENTRE ST AND LAGRANGE ST,42.29309,-71.169754
612,WELD ST AND RUSKIN R,42.293197,-71.145071
2665,WELD ST AND AVALON R,42.293197,-71.145071
1970,34 COLBERG AV AND WILLOWDEAN AV,42.293417,-71.138441
2442,3 ALFRED ST,42.293623,-71.012169
1514,MILLET ST AND IMBARO R,42.293667,-71.076681
1701,ALFRED ST,42.293818,-71.012423
727,WELD ST AND RUSSETT R,42.294533,-71.157354
2707,7 PATTEN ST,42.294647,-71.116651
1478,LEDGEWOOD R,42.294877,-71.164091
323,891 CENTRE ST AND ARBORWAY,42.295199,-71.05624
1989,17 WALK HILL ST AND MANTHORNE R,42.295257,-71.116071
255,HOLLYWOOD R,42.295727,-71.148661
34,DIX ST AND CHELMSFORD ST,42.295777,-71.059191
734,DIX ST AND MARLOWE ST,42.295777,-71.059191
2255,74 DIX ST AND DORCHESTER AV,42.296057,-71.058361
632,6 SCHOOL ST AND COMMONWEALTH AV,42.296486,-71.072921
333,9 NEPONSET AV AND RICHMOND ST,42.296947,-71.056251
1150,CREHORE R,42.297277,-71.144231
1728,HILLSIDE AV,42.297547,-71.113181
1490,3815 WASHINGTON ST AND ARCHDALE R,42.297887,-71.116501
2501,7 MARLOWE ST AND DIX ST,42.298057,-71.064191
2691,1 MIDDLESEX ST AND LYNDEBORO ST,42.298347,-71.009519
1370,74 TOWER ST,42.298354,-71.110742
948,WALDECK ST AND TONAWANDA ST,42.298527,-71.068481
1698,INDEPENDENCE DR,42.298705,-71.156321
659,16 GREEN ST,42.298728,-71.050918
352,18 GREEN ST,42.298732,-71.050884
1037,57 GREEN ST,42.298736,-71.050849
1395,97 GREEN ST,42.298736,-71.050849
1641,36 GREEN ST,42.298736,-71.050849
253,BELMONT ST,42.298747,-71.077331
2486,33 BELMONT ST,42.298777,-71.077515
486,RADCLIFFE R,42.298807,-71.078021
1949,56 BELMONT ST,42.299356,-71.077668
1542,ORCHARDHILL R,42.299634,-71.111148
1389,EVERDEAN ST AND VICTORY R,42.299647,-71.050831
2388,LINCOLN ST AND SURFACE R,42.299707,-71.059351
123,HARVARD AV AND BRAINERD R,42.299787,-71.075681
537,HARVARD AV AND OAKRIDGE ST,42.299787,-71.075681
1629,HARVARD AV AND COMMONWEALTH AV,42.299787,-71.075681
955,9 ELM ST AND BATTERY ST,42.300057,-71.053571
2101,VASSAR ST AND RILEY R,42.300077,-71.077481
2123,LAGRANGE ST AND COREY ST,42.301083,-71.169738
506,ALLANDALE ST AND HACKENSACK R,42.301161,-71.133594
2437,ALLANDALE ST AND ELWELL R,42.301161,-71.133594
233,4 HILL ST,42.301297,-71.051171
2430,6 HACKENSACK RD AND BROOKWAY R,42.301462,-71.141378
2480,1 HILL ST,42.30153,-71.051521
2404,MALCOLM R,42.30248,-71.131491
188,WOLCOTT CT AND NEPONSET AV,42.302517,-71.082481
